x_acceleration,y_acceleration,z_acceleration,activity
3.3400118,0.89964527,9.861496,Walking
0.08893866,0.42225114,10.430327,Sitting
-1.6825659,-6.575766,8.145816,Jogging
0.034710076,7.014876,12.561772,Jogging
0.5348154,-0.1403285,10.383713,Sitting
-3.031523,-0.75150454,9.084646,Jogging
2.1823266,4.6112676,8.689329,Jogging
1.0447404,-1.5253562,7.91264,Jogging
0.31196684,-0.47517785,9.960253,Standing
1.8317212,2.9293656,11.029361,Jogging
-1.3587509,0.8034227,9.393848,Walking
-0.64373475,-0.37207332,9.858801,Sitting
0.03200757,-1.904699,10.634899,Walking
-0.21832776,0.09698119,10.063333,Standing
-1.9776053,-4.0323987,9.2162485,Walking
0.9870291,0.29521734,11.297496,Walking
1.0304171,4.4491696,11.575427,Upstairs
-2.1556582,-0.7891703,10.122007,Walking
-4.0360937,-5.2324767,7.006048,Jogging
0.39223605,-2.4163518,10.923911,Upstairs
2.6833537,-1.4233588,9.53396,Walking
0.6548546,0.20150359,9.835423,Sitting
0.14880112,-0.69203585,9.925368,Sitting
-0.9094979,0.6512656,10.228389,Walking
0.16809402,-0.26839384,9.115998,Standing
-6.506331,0.6143518,9.006722,Jogging
0.87384546,-3.0465147,10.879734,Walking
-5.783668,4.105286,9.113017,Jogging
-3.0748634,0.3378636,8.925976,Walking
0.7202306,-3.8036199,13.1595,Upstairs
-0.35053408,-0.8270711,10.206123,Sitting
6.621189,4.0166993,13.245768,Jogging
0.22377993,-1.516871,9.996664,Walking
1.4434209,0.14569935,9.193045,Jogging
-0.99595374,1.7912599,8.512071,Downstairs
-6.1974053,-0.22063132,12.753271,Jogging
0.91434306,3.1800964,11.263649,Walking
-1.87577,-5.1102834,8.108934,Walking
-1.0359601,4.6484637,10.7291155,Jogging
0.73258394,-8.109155,11.335224,Upstairs
-11.971848,1.1248556,7.6902647,Jogging
-3.4866507,-1.8561159,9.54393,Upstairs
0.079475656,5.245014,11.496282,Jogging
2.7491255,-1.1127783,10.292925,Walking
-0.28883785,-0.14618158,10.232813,Sitting
0.005421765,-0.17485552,9.629778,Sitting
-7.050478,0.17676981,7.4525847,Downstairs
1.3969135,3.3492508,10.403645,Walking
-2.7992857,3.4980266,9.421226,Jogging
1.2526698,-4.861625,9.944134,Walking
0.21062438,-1.237882,10.613973,Jogging
1.6348535,0.98110193,9.083791,Walking
-4.6425586,-0.25303373,10.390896,Walking
-1.8139647,-0.6188378,10.853857,Jogging
0.33303362,2.4773328,10.466097,Walking
-2.092883,-2.4284346,6.085438,Downstairs
0.09765265,0.007181896,10.811287,Standing
1.1438043,-4.511601,8.92456,Walking
-3.5487359,0.46895045,10.574937,Walking
-0.50667346,-2.819822,8.654526,Walking
0.6750489,0.5196634,8.7216835,Walking
-4.0398345,-2.4051955,10.145229,Jogging
-1.962445,-1.4515299,10.012998,Jogging
-2.264061,0.93929094,11.345777,Walking
3.2665727,-3.7586966,11.8696785,Upstairs
-5.1867485,-1.374081,7.8601813,Downstairs
-9.8086,5.320276,9.129498,Jogging
-2.3449557,-1.8440329,9.2281,Jogging
-2.2642124,0.09124602,10.384797,Walking
0.80402887,4.648967,8.599314,Walking
0.13479215,0.08678236,9.927599,Standing
5.124108,-2.5951571,7.409495,Downstairs
-1.7654524,1.0413324,7.518207,Upstairs
1.7410604,-0.53990126,10.296067,Walking
-0.8628629,-0.3993152,11.21538,Jogging
-7.1772685,-2.2701387,10.645035,Jogging
3.3534157,5.456184,9.916919,Walking
0.58699405,-0.18725868,10.132504,Sitting
-0.6066619,0.5720338,9.484735,Upstairs
2.3222342,-0.8143433,11.706608,Downstairs
-1.3206053,0.09819109,9.208482,Walking
-0.33023608,5.045082,13.937929,Jogging
1.780276,-0.8954104,10.313091,Walking
4.663947,2.9835825,7.5573316,Downstairs
5.516722,0.40988293,6.6098914,Jogging
1.1196953,1.3615263,10.891808,Walking
3.0372393,0.8642421,10.409253,Walking
-1.5479553,-2.2450998,10.647102,Walking
-6.6608815,-1.463565,7.610298,Downstairs
4.2103577,0.9643439,13.919245,Upstairs
-0.21006578,-0.06725677,10.109576,Standing
0.1676786,1.0696019,9.322267,Upstairs
0.5394484,4.5085564,10.510361,Walking
0.34155858,-0.3737032,9.845977,Sitting
0.51229477,-0.8711501,11.270827,Walking
0.35374528,-0.058906335,9.823602,Sitting
0.32100388,2.774883,10.487852,Walking
-2.0635886,0.7367722,9.988868,Walking
1.2014971,4.524596,12.982853,Jogging
-5.4493146,4.304054,11.615916,Jogging
0.66951054,-5.170856,9.286472,Jogging
2.5917025,1.5406953,7.42977,Walking
-3.1816256,1.2596322,9.195984,Jogging
1.1168206,-5.02686,7.269524,Downstairs
-2.2781053,3.6524172,8.552797,Jogging
3.0258057,0.85255986,11.283847,Jogging
-0.9587564,-0.92316693,11.052662,Walking
-2.671109,9.417684,10.337251,Jogging
-1.1045917,-0.45360783,9.146139,Walking
-0.17004158,-2.7404096,8.730461,Downstairs
0.3783842,-3.9885652,10.202417,Walking
0.4125778,-0.13751054,9.2143,Walking
0.046500217,-0.35304883,10.693726,Standing
-3.2016659,-2.1200767,14.506292,Upstairs
-3.0835078,-0.1360566,9.289458,Walking
-6.1179543,3.882064,12.459796,Upstairs
5.8484774,-7.9441524,11.553197,Jogging
4.4620686,-1.5278822,10.111012,Jogging
-0.9526076,1.9840046,9.897048,Walking
1.1166269,-2.3145933,10.75059,Walking
-4.2321243,-1.5159715,6.828713,Jogging
